case_id,m_alk,m_si,m_sal,m_ca,m_mg,m_so4,CostIndex,DIC_1000y,risk_SI_chalcedony_0_100y,risk_SI_calcite_0_100y,risk_combined,pH_1000y,pH_min_0_100y,Objective,sel_exists,SI_chal_max_0_10y,SI_calc_max_0_10y,SI_anh_max_0_10y,T_SI_chal_pos_0_10y,T_SI_calc_pos_0_10y,T_SI_anh_pos_0_10y,A_SI_chal_pos_0_10y,A_SI_calc_pos_0_10y,A_SI_anh_pos_0_10y,pH_min_0_10y,pH_10y,RiskInj_A_0_10y,StorageReadyRatio,StorageReady_OK,RiskInj_norm,Cost_norm,SI_SUS
case_0001,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.175312875985,0.4438555083876,0.4260824403993,0.65689672858725,5.232177743759,4.870082223195,-0.1384805811895,True,0.4438555083876,0.4260824403993,-0.4893368155105,6.666666666666666,6.666669803787361,0.0,3.656786540547393,0.7101380690015212,0.0,4.870082223195,4.87395583387,4.011855575048153,1.0,True,0.1005482948325114,0.0,0.9086379986188488
case_0002,1.0,1.0,1.0,1.0,0.7,1.0,0.09,1.17619043459,0.4431720479018,0.4260705178316,0.6562073068176,5.235123047283,4.873774591387,-0.1812241790451999,True,0.4431720479018,0.4260705178316,-0.4927531822863,6.666666666666666,6.66666980378736,0.0,3.6514726923452914,0.7101181980366548,0.0,4.873774591387,4.877666962201,4.006531791363619,1.00074665956864,True,0.0907219806374465,0.0065958226456577,0.9119934594831784
case_0003,1.0,1.0,1.0,1.5,1.0,1.0,0.25,1.17297706817,0.4456460977161,0.594722162264,0.7430071788481,5.224245571715,4.86035669833,-0.4380372895261999,True,0.4456460977161,0.594722162264,-0.4804940950512,6.666666666666666,6.66666980378736,0.0,3.6711843339050025,0.9912045366309364,0.0,4.86035669833,4.864177412249,4.166786602220471,0.9980126076530538,True,0.3865105055027246,0.0183217295712715,0.7104140855655166
case_0004,1.0,1.0,1.0,1.5,0.7,1.0,0.34,1.173847428912,0.4449730178573,0.594908381417,0.7424272085657999,5.227217795341,4.86396467405,-0.4810069882195998,True,0.4449730178573,0.594908381417,-0.4837425210606,6.666666666666666,6.66666980378736,0.0,3.665721260914811,0.9915149021780318,0.0,4.86396467405,4.867805592457,4.161478712003827,0.9987531430115816,True,0.3767135264982671,0.0249175522169292,0.7125649239506643
case_0005,1.0,1.0,0.7,1.0,1.0,1.0,0.18,1.180773244224,0.4458135246738,0.4607197432648,0.6761733963062,5.240073418991,4.867891013791,-0.2615735483884,True,0.4458135246738,0.4607197432648,-0.4668777846533,6.666666666666666,6.66666980378736,0.0,3.6724558049299887,0.7678669614413884,0.0,4.867891013791,4.871924022747,4.056389285650683,1.0046458848112454,True,0.1827458931165716,0.0131916452913155,0.8400487923045697
case_0006,1.0,1.0,0.7,1.0,0.7,1.0,0.2700000000000001,1.181654496963,0.4451236350554,0.4601295183644,0.6751883942376,5.243022517137,4.871693426655,-0.3037222915122,True,0.4451236350554,0.4601295183644,-0.4701645647388,6.666666666666666,3.333336470454027,0.0,3.666949887448017,0.7668832523482503,0.0,4.871693426655,4.875746375174,4.0503915136221424,1.0053956874867769,True,0.1716755724733747,0.0197874679369732,0.8438328788952714
case_0007,1.0,1.0,0.7,1.5,1.0,1.0,0.43,1.178427402795,0.4476790033103,0.628814487101,0.7620862468608001,5.232128908186,4.857882440192,-0.5607450909266003,True,0.4476790033103,0.628814487101,-0.4583925130746,6.666666666666666,3.333336470454027,0.0,3.6869770288658823,1.0480251315018032,0.0,4.857882440192,4.861859276031,4.210989594616784,1.002649955491545,True,0.4680976843563789,0.031513374862587,0.6686066692611279
case_0008,1.0,1.0,0.7,1.5,0.7,1.0,0.52,1.179301605086,0.4469966860976,0.6285314259472,0.7612623990712,5.235106164454,4.86159425069,-0.6032231930564,True,0.4469966860976,0.6285314259472,-0.4615054577937,6.666666666666666,6.66666980378736,0.0,3.681670572668041,1.047553362468139,0.0,4.86159425069,4.865592456141,4.20544725390211,1.0033937593831406,True,0.4578679709672537,0.0381091975082447,0.6707279900572723
case_0009,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.175319350949,0.4422139288798,0.4261750004063,0.65530142908295,5.232200706379,4.870186585243,-0.3852835072168998,True,0.4422139288798,0.4261750004063,-0.4894714660075,6.666666666666666,6.666669803787361,0.0,3.625277227211069,0.7102923358250414,0.0,4.870186585243,4.874057437677,3.98042339512359,1.0000055091407,True,0.042532700271102,0.036643459142543,0.9266378805885024
case_0010,1.0,0.5,1.0,1.0,0.7,1.0,0.5900000000000001,1.176196881547,0.4415270834304,0.4261630646286,0.6546086157447,5.235145746754,4.873880013738,-0.4280203499423999,True,0.4415270834304,0.4261630646286,-0.4928901793771,6.666666666666666,3.333336470454027,0.0,3.619873270993437,0.7102724428434852,0.0,4.873880013738,4.877769538738,3.97500949241518,1.0007521448799404,True,0.0325400498955997,0.0432392817882008,0.9302578283536752
